ratings,volume,price,category,Age,type,gender,rating,recommend,Names
4.66,210ml ," 24,000원",스킨케어,28,민감성,여,4.0,True,웰라쥬/리얼 히알루로닉 블루 100 토너 패드
4.73,70ea ," 22,000원",스킨케어,23,복합성,여,5.0,True,잇츠스킨/파워 10 포뮬라 엘아이 젤리 패드 감초줄렌
4.73,70ea ," 22,000원",스킨케어,24,복합성,여,5.0,True,잇츠스킨/파워 10 포뮬라 엘아이 젤리 패드 감초줄렌
4.73,70ea ," 22,000원",스킨케어,29,복합성,여,5.0,True,잇츠스킨/파워 10 포뮬라 엘아이 젤리 패드 감초줄렌
4.73,70ea ," 22,000원",스킨케어,29,복합성,여,5.0,True,잇츠스킨/파워 10 포뮬라 엘아이 젤리 패드 감초줄렌
4.73,70ea ," 22,000원",스킨케어,24,복합성,여,5.0,True,잇츠스킨/파워 10 포뮬라 엘아이 젤리 패드 감초줄렌
4.55,60ea ," 26,000원",스킨케어,24,지성,여,5.0,True,스킨푸드/캐롯 카로틴 카밍 워터 패드
4.51,70ea ," 22,000원",스킨케어,23,지성,여,4.0,True,웰스킨/센텔라 목화솜 토너패드
4.51,70ea ," 31,000원",스킨케어,29,복합성,여,5.0,True,파넬/시카마누 순면 클리어패드
4.44,120ml ," 20,000원",스킨케어,30,복합성,여,4.0,True,아이레시피/아쿠아 피토플렉스 크림 인 토너
4.54,50ml ," 33,000원",스킨케어,19,건성,여,5.0,True,라보드레/인텐시브 리파이닝 에멀젼
4.54,50ml ," 33,000원",스킨케어,39,건성,여,5.0,True,라보드레/인텐시브 리파이닝 에멀젼
4.43,150ml ," 28,000원",스킨케어,28,건성,여,4.0,True,에스트라/아토베리어 365 로션
4.43,150ml ," 28,000원",스킨케어,32,건성,여,5.0,True,에스트라/아토베리어 365 로션
4.43,150ml ," 28,000원",스킨케어,23,복합성,여,4.0,True,에스트라/아토베리어 365 로션
4.43,150ml ," 28,000원",스킨케어,15,지성,여,4.0,True,에스트라/아토베리어 365 로션
4.43,150ml ," 28,000원",스킨케어,32,복합성,여,4.0,True,에스트라/아토베리어 365 로션
4.43,150ml ," 28,000원",스킨케어,17,민감성,여,5.0,True,에스트라/아토베리어 365 로션
4.43,150ml ," 28,000원",스킨케어,25,민감성,여,4.0,True,에스트라/아토베리어 365 로션
4.47,220ml ," 23,000원",스킨케어,29,건성,여,4.0,True,라운드어라운드/그린티 약산성 에센스 로션
4.35,150ml ," 60,000원",스킨케어,38,복합성,여,5.0,True,아이오페/슈퍼바이탈 에멀젼
4.05,100ml ," 95,000원",스킨케어,31,복합성,여,4.0,True,닥터지/레드 블레미쉬 멀티 플루이드
4.06,130ml ," 17,000원",스킨케어,17,민감성,여,5.0,True,홀리카홀리카/굳세라 수퍼 세라마이드 에멀젼
4.06,130ml ," 17,000원",스킨케어,27,복합성,여,4.0,True,홀리카홀리카/굳세라 수퍼 세라마이드 에멀젼
4.1,200ml ," 33,000원",스킨케어,24,민감성,여,4.0,True,아벤느/트릭세라 뉴트리 플루이드 로션
4.1,200ml ," 33,000원",스킨케어,29,건성,여,4.0,True,아벤느/트릭세라 뉴트리 플루이드 로션
4.65,50ml ," 220,000원",스킨케어,50,복합성,여,4.0,True,설화수/자음생세럼
4.54,30ml ," 32,000원",스킨케어,21,복합성,여,5.0,True,바이위시트렌드/폴리페놀 인 프로폴리스 15% 앰플
4.54,30ml ," 32,000원",스킨케어,32,복합성,여,5.0,True,바이위시트렌드/폴리페놀 인 프로폴리스 15% 앰플
4.55,30ml ," 14,000원",스킨케어,28,복합성,여,5.0,True,잇츠스킨/파워 10 포뮬라 엘아이 이펙터 감초줄렌
4.55,30ml ," 14,000원",스킨케어,23,지성,여,5.0,True,잇츠스킨/파워 10 포뮬라 엘아이 이펙터 감초줄렌
4.55,30ml ," 14,000원",스킨케어,29,복합성,여,4.0,True,잇츠스킨/파워 10 포뮬라 엘아이 이펙터 감초줄렌
4.52,150ml ," 34,000원",스킨케어,31,복합성,여,5.0,True,리더스코스메틱/리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤
4.52,150ml ," 34,000원",스킨케어,23,복합성,여,5.0,True,리더스코스메틱/리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤
4.52,150ml ," 34,000원",스킨케어,23,건성,여,5.0,True,리더스코스메틱/리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤
4.52,150ml ," 34,000원",스킨케어,42,복합성,여,5.0,True,리더스코스메틱/리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤
4.52,150ml ," 34,000원",스킨케어,31,복합성,여,4.0,True,리더스코스메틱/리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤
4.52,150ml ," 34,000원",스킨케어,40,건성,여,5.0,True,리더스코스메틱/리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤
4.45,70ml ," 44,000원",스킨케어,36,건성,여,5.0,True,미샤/타임 레볼루션 나이트 리페어 앰플 5X
4.59,80ml ," 32,000원",스킨케어,31,건성,여,5.0,True,메이크프렘/인테카 수딩 크림
4.59,80ml ," 32,000원",스킨케어,27,건성,여,4.0,True,메이크프렘/인테카 수딩 크림
4.59,80ml ," 32,000원",스킨케어,26,건성,여,5.0,True,메이크프렘/인테카 수딩 크림
4.59,50g ," 24,000원",스킨케어,21,지성,여,5.0,True,주미소/워터풀 히알루론산 크림
4.53,100ml ," 46,000원",스킨케어,25,건성,여,4.0,True,달바/화이트 트러플 프리미엄 인텐시브 세럼
4.53,100ml ," 46,000원",스킨케어,31,복합성,여,5.0,True,달바/화이트 트러플 프리미엄 인텐시브 세럼
4.53,100ml ," 46,000원",스킨케어,24,민감성,여,5.0,True,달바/화이트 트러플 프리미엄 인텐시브 세럼
4.53,100ml ," 46,000원",스킨케어,36,복합성,여,5.0,True,달바/화이트 트러플 프리미엄 인텐시브 세럼
4.53,100ml ," 46,000원",스킨케어,29,건성,여,5.0,True,달바/화이트 트러플 프리미엄 인텐시브 세럼
4.32,120ml ," 15,000원",스킨케어,31,복합성,여,5.0,True,홀리카홀리카/굳세라 수퍼 세라마이드 미스트
4.32,120ml ," 15,000원",스킨케어,32,건성,여,5.0,True,홀리카홀리카/굳세라 수퍼 세라마이드 미스트
4.44,99ml ," 25,000원",스킨케어,16,복합성,여,4.0,True,바닐라코/미스 플라워 앤 미스터 허니 프로폴리스 리쥬비네이팅 앰플 미스트
4.44,99ml ," 25,000원",스킨케어,27,건성,여,5.0,True,바닐라코/미스 플라워 앤 미스터 허니 프로폴리스 리쥬비네이팅 앰플 미스트
4.58,60ml ," 15,000원",스킨케어,33,복합성,여,5.0,True,아이레시피/아쿠아 피토플렉스 크림 인 토너 미스트
4.58,60ml ," 15,000원",스킨케어,40,건성,여,5.0,True,아이레시피/아쿠아 피토플렉스 크림 인 토너 미스트
4.58,60ml ," 15,000원",스킨케어,26,건성,여,5.0,True,아이레시피/아쿠아 피토플렉스 크림 인 토너 미스트
4.58,60ml ," 15,000원",스킨케어,36,복합성,여,5.0,True,아이레시피/아쿠아 피토플렉스 크림 인 토너 미스트
