,Name,brand,ratings,volume_price
0,리얼 히알루로닉 블루 100 토너 패드,웰라쥬,4.66,"210ml / 24,000원"
1,DAC2 알래스카 엘엠더블유 히알루로닉 토너,닥터릴리프,4.59,"205ml / 39,000원"
2,파워 10 포뮬라 엘아이 젤리 패드 감초줄렌,잇츠스킨,4.73,"70ea / 22,000원"
3,캐롯 카로틴 카밍 워터 패드,스킨푸드,4.55,"60ea / 26,000원"
4,참마 보습 토너,디옴,4.62,"300g / 27,000원"
5,워터풀 히알루론산 토너,주미소,4.56,"250ml / 20,000원"
6,펩타이드 크림 스킨 모이스처라이징 토너,랩클,4.56,"150ml / 35,000원"
7,컬러 푸드 시리즈 레드 레미디 토너,투비건,4.52,"150ml / 35,000원"
8,센텔라 목화솜 토너패드,웰스킨,4.51,"70ea / 22,000원"
9,그린 플라보노이드 2.5 패드,더랩 바이 블랑두,4.57,"90ea / 23,000원"
10,시카마누 순면 클리어패드,파넬,4.51,"70ea / 31,000원"
11,타임리스 에센스 스킨,코스톡,4.53,"200ml / 33,000원"
12,원더 세라마이드 모찌 토너 패드,토니모리,4.49,"70ea / 22,000원"
13,원 샷 케이프 알로에,낫씨백,4.43,"250ml / 19,000원"
14,비타씨플러스 잡티씨 앰플 패드,미샤,4.51,"70ea / 25,000원"
15,리더스 카밍 바이오틱스 에센스 워터,리더스코스메틱,4.49,"150ml / 25,000원"
16,시카치드 칠링 패드,니들리,4.48,"70ea / 25,000원"
17,119 스마트 시카 패드,클라랩,4.46,"60ea / 34,000원"
18,청자몽 맑은 피부 수분 패드,딸로,4.44,"60ea / 32,000원"
19,아쿠아 피토플렉스 크림 인 토너,아이레시피,4.44,"120ml / 20,000원"
20,인텐시브 리파이닝 에멀젼,라보드레,4.54,"50ml / 33,000원"
21,아토베리어 365 로션,에스트라,4.43,"150ml / 28,000원"
22,아토베리어 로션,에스트라,4.38,"200ml / 35,000원"
23,인텐시브 로션,제로이드,4.31,"200ml / 36,000원"
24,세라마이드 하이드라 플루이드,라포티셀,4.3,"125ml / 36,000원"
25,레드수딩 AI 로션,피지오겔,4.32,"200ml / 35,000원"
26,오일 스무딩 로션,일리윤,4.25,"350ml / 19,900원"
27,그린티 약산성 에센스 로션,라운드어라운드,4.47,"220ml / 23,000원"
28,크리미 모이스춰라이저 딥 모이스트,빌리프,4.2,"125ml / 40,000원"
29,더 심플 데일리 로션,싸이닉,4.11,"145ml / 18,000원"
30,어린쑥 수분진정 플루이드,한율,4.08,"125ml / 26,000원"
31,밀키 모이스춰라이저 하이드라 밸런싱,빌리프,4.15,"125ml / 44,000원"
32,데일리리페어 모이스처라이저,닥터벨머,4.1,"120ml / 20,000원"
33,워터풀 스킨베리어 로센스,닥터뉴엘,4.09,"150ml / 24,000원"
34,슈퍼바이탈 에멀젼,아이오페,4.35,"150ml / 60,000원"
35,하이드로 인텐시브 모이스쳐라이징 에멀젼,잇퍼,4.08,"100ml / 21,000원"
36,레드 블레미쉬 멀티 플루이드,닥터지,4.05,"100ml / 95,000원"
37,굳세라 수퍼 세라마이드 에멀젼,홀리카홀리카,4.06,"130ml / 17,000원"
38,트릭세라 뉴트리 플루이드 로션,아벤느,4.1,"200ml / 33,000원"
39,아쿠아볼릭 에센셜 에멀젼,헤라,4.09,"120ml / 45,000원"
40,자음생세럼,설화수,4.65,"50ml / 220,000원"
41,마이크로 에센스,에스티 로더,4.64,"200ml / 142,000원"
42,알쓰리 리페어 컨센트레이트 세럼,더라퓨즈,4.66,"35ml / 88,000원"
43,폴리페놀 인 프로폴리스 15% 앰플,바이위시트렌드,4.54,"30ml / 32,000원"
44,로즈 하이드라 글로리 앰플,마몽드,4.63,"50ml / 36,000원"
45,아토베리어 365 하이드로 에센스,에스트라,4.48,"150ml / 25,000원"
46,플로우 셀코드 세럼,코이,4.51,"50ml / 62,000원"
47,파워 10 포뮬라 엘아이 이펙터 감초줄렌,잇츠스킨,4.55,"30ml / 14,000원"
48,리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤,리더스코스메틱,4.52,"150ml / 34,000원"
49,타임 레볼루션 나이트 리페어 앰플 5X,미샤,4.45,"70ml / 44,000원"
50,트리플 케어 수영장 앰플,이퀄베리,4.47,"50ml / 35,000원"
51,안티옥시던트 래디언스 앰플,브이앤에이,4.46,"50ml / 52,000원"
52,하이드라 앰플 Ⅱ,나인위시스,4.52,"30ml / 19,500원"
53,프로폴리스 트리트먼트 앰플 에센스,CNP,4.52,"150ml / 38,000원"
54,병풀 세럼,원씽,4.42,"80ml / 25,600원"
55,브이 코어텍틴 앰플,브이앤코,4.44,"40ml / 45,000원"
56,자음생앰플,설화수,4.49,"20g / 130,000원"
