,Age,type,gender,brand,Name,rating
0,23세,복합성,여,듀이트리,AC 컨트롤 딥 그린 카밍 패드,3
1,20세,중성,여,애터미,애터미 토너,3
2,25세,민감성,여,코스알엑스,원스텝 오리지널 클리어 패드,5
3,25세,민감성,여,이니스프리,블루베리 리밸런싱 스킨,4
4,22세,복합성,여,네이처리퍼블릭,그린더마 티트리 시카 빅토너,5
5,24세,복합성,여,어퓨,마데카소사이드 플루이드 2X,5
6,24세,복합성,여,원씽,병풀 추출물,4
7,24세,복합성,여,어퓨,마데카소사이드 플루이드 2X,5
8,25세,민감성,여,마녀공장,블랙헤드&포어 토너,5
9,25세,민감성,여,마녀공장,비피다 바이옴 앰플 토너,5
10,23세,지성,여,어퓨,마데카소사이드 플루이드 2X,5
11,23세,복합성,여,잇츠스킨,파워 10 포뮬라 엘아이 젤리 패드 감초줄렌,5
12,26세,복합성,여,어퓨,마데카소사이드 플루이드 2X,5
13,30세,복합성,여,닥터자르트,세라마이딘 리퀴드,5
14,37세,건성,여,라보드레,레이어링 에센셜 워터,5
15,23세,지성,여,어퓨,마데카소사이드 플루이드 2X,4
16,21세,복합성,여,어퓨,마데카소사이드 플루이드 2X,5
17,33세,건성,여,원씽,병풀 추출물,5
18,24세,복합성,여,잇츠스킨,파워 10 포뮬라 엘아이 젤리 패드 감초줄렌,5
19,32세,복합성,여,바이오힐 보,판테놀 시카 블레미쉬 논코메도 더마 패드,5
20,24세,복합성,여,프롬논,어성초 추출물,5
21,24세,복합성,여,프롬논,카무카무 추출물,5
22,22세,건성,여,설화수,자음수,3
23,22세,복합성,여,넘버즈인,결광 가득 에센스 토너 [3번],3
24,29세,건성,여,토코보,아하 바하 레몬 토너,4
25,26세,건성,여,어퓨,마데카소사이드 플루이드 2X,5
26,24세,복합성,여,어퓨,마데카소사이드 플루이드 2X,5
27,36세,건성,여,참존,디에이지 레드-애디션 스킨토너,5
28,24세,건성,여,어퓨,마데카소사이드 플루이드 2X,5
29,29세,복합성,여,잇츠스킨,파워 10 포뮬라 엘아이 젤리 패드 감초줄렌,5
30,29세,복합성,여,잇츠스킨,파워 10 포뮬라 엘아이 젤리 패드 감초줄렌,5
31,31세,복합성,여,마녀공장,비피다 바이옴 앰플 토너,5
32,30세,복합성,여,아이레시피,아쿠아 피토플렉스 크림 인 토너,4
33,24세,복합성,여,잇츠스킨,파워 10 포뮬라 엘아이 젤리 패드 감초줄렌,5
34,31세,건성,여,비욘드,엔젤아쿠아 브라이트닝 밀키토너,5
35,23세,중성,여,니들리,데일리 토너 패드,5
36,30세,건성,여,디어클레어스,서플 프레퍼레이션 페이셜 토너,4
37,32세,복합성,여,듀이트리,AC 컨트롤 딥 그린 카밍 패드,4
38,28세,건성,여,어퓨,마데카소사이드 플루이드 2X,4
39,30세,건성,여,한율,어린쑥 수분진정 토너,3
40,29세,복합성,여,파넬,시카마누 순면 클리어패드,5
41,30세,건성,여,라보드레,레이어링 에센셜 워터,4
42,23세,지성,여,웰스킨,센텔라 목화솜 토너패드,4
43,35세,건성,여,라보드레,레이어링 에센셜 워터,5
44,26세,건성,여,이니스프리,블루베리 리밸런싱 스킨,5
45,24세,지성,여,스킨푸드,캐롯 카로틴 카밍 워터 패드,5
46,30세,건성,여,비쉬,아쿠알리아 떼르말 부스팅 에센스 워터,5
47,28세,민감성,여,웰라쥬,리얼 히알루로닉 블루 100 토너 패드,4
48,21세,복합성,여,토니모리,원더 세라마이드 모찌 토너,5
49,21세,복합성,여,스팀베이스,테르물레 클리어 패드,4
50,23세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
51,23세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
52,24세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
53,23세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
54,25세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
55,28세,건성,여,에스트라,아토베리어 365 로션,4
56,20세,중성,여,더랩 바이 블랑두,올리고 히알루론산 카밍+ 로션,4
57,25세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,4
58,22세,건성,여,싸이닉,더 심플 데일리 로션,2
59,32세,건성,여,에스트라,아토베리어 365 로션,5
60,33세,건성,여,설화수,자음생유액,3
61,19세,건성,여,라보드레,인텐시브 리파이닝 에멀젼,5
62,23세,복합성,여,순플러스,5.5 밸런싱 에멀전,5
63,44세,민감성,여,시슬리,에뮐씨옹 에꼴로지끄,5
64,21세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,4
65,24세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
66,26세,지성,여,에뛰드,AC클리닉 데일리 젤 로션,5
67,25세,복합성,여,이니스프리,비자 트러블 로션,4
68,28세,건성,여,입생로랑 뷰티,퓨어샷 하이드라 바운스 에센스 인 로션,5
69,25세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,4
70,31세,복합성,여,닥터지,레드 블레미쉬 멀티 플루이드,4
71,24세,민감성,여,아벤느,트릭세라 뉴트리 플루이드 로션,4
72,28세,복합성,여,피지오겔,데일리 모이스쳐 테라피 페이셜 로션,4
73,23세,복합성,여,에스트라,아토베리어 365 로션,4
74,15세,지성,여,에스트라,아토베리어 365 로션,4
75,39세,건성,여,라보드레,인텐시브 리파이닝 에멀젼,5
76,37세,건성,남,설화수,자음유액,4
77,25세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
78,32세,복합성,여,에스트라,아토베리어 365 로션,4
79,24세,복합성,여,헤라,에이지 어웨이 콜라제닉 에멀젼,5
80,22세,복합성,여,이니스프리,비자 트러블 로션,5
81,41세,건성,여,숨37˚,타임 에너지 스킨 리셋팅 소프트닝 에멀전,4
82,17세,민감성,여,비욘드,피토아쿠아 에멀젼,5
83,17세,민감성,여,홀리카홀리카,굳세라 수퍼 세라마이드 에멀젼,5
84,17세,민감성,여,에스트라,아토베리어 365 로션,5
85,25세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,5
86,30세,복합성,여,일리윤,세라마이드 아토 워터 로션,3
87,29세,건성,여,라운드어라운드,그린티 약산성 에센스 로션,4
88,25세,건성,여,나츄리에,하또무기 스킨 컨디셔닝 밀크,4
89,27세,건성,여,설화수,자음생유액,4
90,27세,복합성,여,홀리카홀리카,굳세라 수퍼 세라마이드 에멀젼,4
91,25세,민감성,여,에스트라,아토베리어 365 로션,4
92,29세,건성,여,토니모리,더 촉촉 그린티 수분 로션,5
93,29세,건성,여,아벤느,트릭세라 뉴트리 플루이드 로션,4
94,22세,건성,여,피지오겔,데일리 모이스쳐 테라피 페이셜 로션,5
95,27세,건성,여,네이처리퍼블릭,아르간 20˚ 스팀 에멀젼,5
96,37세,중성,여,프리메라,오가니언스 에멀젼,5
97,36세,복합성,여,어퓨,퓨어메딕 퓨리티 로션,3
98,38세,복합성,여,아이오페,슈퍼바이탈 에멀젼,5
99,22세,지성,여,피지오겔,레드수딩 AI 로션,3
100,31세,복합성,여,비오템,라이프 플랑크톤™ 클리어 에센스,5
101,21세,중성,여,스킨푸드,캐롯 카로틴 모이스트 이펙터,5
102,31세,복합성,여,비오템,라이프 플랑크톤™ 엘릭시어 안티-에이징 세럼,5
103,31세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤,5
104,37세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 토닝 컨트롤,5
105,18세,건성,여,아이소이,아크니 닥터 1st 스피디 스팟 (응급스팟),5
106,23세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤,5
107,32세,건성,여,일리윤,프로바이오틱스 스킨 배리어 에센스 드롭,4
108,36세,지성,여,스킨푸드,캐롯 카로틴 모이스트 이펙터,5
109,50세,복합성,여,설화수,자음생세럼,4
110,23세,건성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤,5
111,28세,복합성,여,잇츠스킨,파워 10 포뮬라 엘아이 이펙터 감초줄렌,5
112,23세,지성,여,잇츠스킨,파워 10 포뮬라 엘아이 이펙터 감초줄렌,5
113,24세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 토닝 컨트롤,3
114,21세,복합성,여,바이위시트렌드,쿼드 액티브 부스팅 에센스,3
115,21세,복합성,여,바이위시트렌드,폴리페놀 인 프로폴리스 15% 앰플,5
116,34세,복합성,여,구달,청귤 비타C 잡티 세럼 플러스,4
117,34세,민감성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,4
118,35세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,5
119,22세,복합성,여,네이처리퍼블릭,그린더마 티트리 시카 스팟 세럼,5
120,25세,민감성,여,에스트라,에이시카365 흔적 진정 세럼,5
121,25세,민감성,여,에스트라,에이시카 스트레스 릴리프 크림에센스,5
122,31세,지성,여,스킨푸드,캐롯 카로틴 모이스트 이펙터,5
123,26세,복합성,여,에스트라,에이시카365 흔적 진정 세럼,5
124,31세,복합성,남,레센셜,로디올라 블랑 더블 앰플,5
125,30세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 포어 컨트롤,5
126,27세,지성,여,메디힐,티트리바이옴 블레미쉬 시카 앰플,5
127,22세,지성,여,잇츠스킨,파워 10 포뮬라 엘아이 이펙터 감초줄렌,3
128,42세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤,5
129,29세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 토닝 컨트롤,4
130,31세,복합성,여,리더스코스메틱,리더스 퍼스트 샷 액티브 에센스 에이지 컨트롤,4
131,33세,중성,여,딸로,청자몽 맑은 피부 잡티 세럼,3
132,37세,복합성,여,더마펌,바이오 코렉션 앰플 콜라겐 R4,5
